    CNS,NAME, obj,LHS, RA, DEC,proper mo,tion, trigonome,tric,   S,pectral,V,Mv,mass, notes,,Common Name,,
,,,,2000,,"  ""/yr  a",ngle,     paral,lax,,  Type,,      e,stimate,,,,,
,-1,-2,-3,-4,-5,-6,,-7,,,-8,-9,-10,-11,,,,,
________,_________,________,________,____________,___________,_________,_______,__________,_________,____,______________,________,_______,_______,_______________,______,________________,________________,_______
,,,,,,,,,,,,,,,,,,,
     SUN,,    1+8P,, ----------,-----------,   -----,-------,    -----, -----,,    G2.0 V  N,-26.72,4.85,1, *  8 planets,,,,
,,,,,,,,,,,,,,,,,,,
  1. GJ,551,    -,49, 14 29 43.0,-62 40 46 H,3.853,281.5 H,0.76885,0.00029, YHB,*   M5.0 V  *,11.05,15.48,0.11,    separation,"7849""",   Proxima Centa,uri,
     GJ, 559    A,3,50, 14 39 36.5,-60 50 02 H,3.71,277.5 H,0.74723,0.00117, YS,    G2.0 V  G,0.01,4.38,1.14,,,   alpha Centaur,i A,
     GJ, 559    B,    -,51, 14 39 35.1,-60 50 14 H,3.724,284.8 H,0.74723,0.00117,,    K0   V  N,1.34,5.71,0.92,"    orbit 18""",,   alpha Centaur,i B,
,,,,,,,,,,,,,,,,,,,
  2. GJ,699,1,57, 17 57 48.5,+04 41 36 H,10.358,355.6 H,0.54551,0.00029, YHB,    M3.5 V  *,9.57,13.25,0.16,,,   Barnard's Sta,r,
,,,,,,,,,,,,,,,,,,,
  3. GJ,406,1,36, 10 56 29.2,+07 00 53 N,4.696,234.6 N,0.4191,0.0021, Y,    M5.5 V  *,13.53,16.64,0.09,,,   Wolf 359,,
			   		,						,,,,,,,,,,,,,,,,,,
  4. GJ,411,1,37, 11 03 20.2,+35 58 12 H,4.802,186.9 H,0.39325,0.00057, YH,    M2.0 V  *,7.47,10.44,0.46,,,   Lalande 21185,,
,,,,,,,,,,,,,,,,,,,
  5. GJ, 244    A,2,219, 06 45 08.9,-16 42 58 H,1.339,204.1 H,0.38002,0.00128, YH,    A1.0 V  G,-1.43,1.47,1.99,,,   Sirius,,
     GJ, 244    B,    -,, 06 45 08.9,-16 42 58,1.339,204.1,0.38002,0.00128,,   DA2      N,8.44,11.34,1,"    orbit 8""",,   Sirius B,,
,,,,,,,,,,,,,,,,,,,
  6. GJ,  65    A,2,9, 01 39 01.3,-17 57 01 N,3.368,080.4 N,0.3737,0.0027, Y,    M5.5 V  *,12.61,15.47,0.11,,,   BL Ceti,,
     GJ,  65    B,    -,10, 01 39 01.3,-17 57 01,3.368,80.4,0.3737,0.0027,,    M6.0 V  *,13.06,15.93,0.1,"    orbit < 2""",,   UV Ceti,,
,,,,,,,,,,,,,,,,,,,
  7. GJ,729,1,3414, 18 49 49.4,-23 50 10 H,0.666,106.8 H,0.33722,0.00197, YH,    M3.5 V  *,10.44,13.08,0.17,,,   Ross 154,,
,,,,,,,,,,,,,,,,,,,
  8. GJ,905,1,549, 23 41 54.7,+44 10 30 N,1.617,177.0 N,0.31637,0.00055, YGG,    M5.5 V  *,12.29,14.79,0.12,,,   Ross 248,,
,,,,,,,,,,,,,,,,,,,
  9. GJ,144,    1+1P,1557, 03 32 55.8,-09 27 30 H,0.977,271.1 H,0.31122,9E-05, YHB,    K2.0 V  G,3.73,6.2,0.85,    cold dust,,   epsilon Erida,ni,
     GJ, 144    P,-1,, 03 32 55.8,-09 27 30,0.977,271.1,0.31122,9E-05,,    planet  -,,,,"    orbit < 2""",,,,
			   		,						,,,,,,,,,,,,,,,,,,
 10. GJ,887,1,70, 23 05 52.0,-35 51 11 H,6.896,078.9 H,0.30508,0.0007, YH,    M1.0 V  *,7.34,9.76,0.53,,,   Lacaille 9352,,
,,,,,,,,,,,,,,,,,,,
 11. GJ,447,1,315, 11 47 44.4,+00 48 16 H,1.361,153.6 H,0.29814,0.00137, YH,    M4.0 V  *,11.16,13.53,0.16,,,   Ross 128,,
,,,,,,,,,,,,,,,,,,,
 12. GJ, 866    A,3,68, 22 38 33.4,-15 18 07 N,3.254,046.6 N,0.2895,0.0044, Y,    M5.0 VJ *,13.03,15.33,0.11,,,   EZ Aquarii A,,
     GJ, 866    B,    -,, 22 38 33.4,-15 18 07,3.254,46.6,0.2895,0.0044,,    M    V  -,13.27,15.58,0.11,"    orbit < 2""",,   EZ Aquarii B,,
     GJ, 866    C,    -,, 22 38 33.4,-15 18 07,3.254,46.6,0.2895,0.0044,,    M    V  -,15.07,17.37,0.08,"    orbit < 2""",,   EZ Aquarii C,,
,,,,,,,,,,,,,,,,,,,
 13. GJ, 820    A,2,62, 21 06 53.9,+38 44 58 H,5.281,051.9 H,0.28608,0.00048, YHH,    K5.0 V  *,5.2,7.48,0.7,,,   61 Cygni A,,
     GJ, 820    B,    -,63, 21 06 55.3,+38 44 31 H,5.172,052.6 H,0.28608,0.00048,,    K7.0 V  *,6.03,8.31,0.63,"    orbit 25""",,   61 Cygni B,,
,,,,,,,,,,,,,,,,,,,
 14. GJ, 280    A,2,233, 07 39 18.1,+05 13 30 H,1.259,214.7 H,0.28517,0.00064, YHG,Gi  F5 IV-V G,0.37,2.65,1.57,,,   Procyon,,
     GJ, 280    B,    -,, 07 39 18.1,+05 13 30,1.259,214.7,0.28517,0.00064,,   DQZ      Pl,10.7,12.98,0.5," *  orbit 4""",,   Procyon B,,
,,,,,,,,,,,,,,,,,,,
 15. GJ, 725    A,2,58, 18 42 46.7,+59 37 49 H,2.238,323.6 H,0.28383,0.00146, YHH,    M3.0 V  *,8.9,11.17,0.35,,,,,
     GJ, 725    B,    -,59, 18 42 46.9,+59 37 37 H,2.313,323.0 H,0.28383,0.00146,,    M3.5 V  *,9.69,11.96,0.26,"    orbit 14""",,,,
,,,,,,,,,,,,,,,,,,,
